65378,121.23,-22.01,41.73,65378,2.23,200.980916,54.92541525,0.07
100453,2.43,-0.93,2.14,100453,2.23,305.5570835,40.2566815,0.65
87833,-8.52,-23.05,22.1,87833,2.24,269.1515744,51.48895101,1.54
3179,50.36,-32.17,14.27,3179,2.24,10.12661349,56.53740928,1.13
25930,1.67,0.56,3.56,25930,2.25,83.00166562,-0.2990934,-0.21
746,523.39,-180.42,59.89,746,2.28,2.29204036,59.15021814,0.4
66657,-14.6,-12.79,8.68,66657,2.29,204.9719696,-53.46636269,-0.23
82396,-611.83,-255.87,49.85,82396,2.29,252.5426874,-34.29260982,1.1
78401,-8.67,-36.9,8.12,78401,2.29,240.0833823,-22.62162024,-0.09
71860,-21.15,-24.22,5.95,71860,2.3,220.482391,-47.38814127,-0.21
71352,-35.31,-32.44,10.57,71352,2.33,218.8768816,-42.15774562,-0.17
53910,81.66,33.74,41.07,53910,2.34,165.4599615,56.38234478,0.02
72105,-50.65,20,15.55,72105,2.35,221.2468787,27.07417383,0.95
107315,30.02,1.38,4.85,107315,2.38,326.0464181,9.87500791,1.42
86670,-6.49,-25.55,7.03,86670,2.39,265.6219991,-39.02992092,-0.22
2081,232.76,-353.64,42.14,2081,2.4,6.57028075,-42.30512197,1.11
58001,107.76,11.16,38.99,58001,2.41,178.4572554,53.69473296,0.06
84012,41.16,97.65,38.77,84012,2.43,257.5944266,-15.72514757,0.06
113881,187.76,137.61,16.37,113881,2.44,345.9430558,28.08245462,2.31
105199,149.91,48.27,66.84,105199,2.45,319.6440898,62.58545529,0.26
35904,-3.76,6.66,1.02,35904,2.45,111.023771,-29.30311979,0.01
45941,-10.72,11.24,6.05,45941,2.47,140.5284551,-55.01069531,-0.17
102488,356.16,330.28,45.26,102488,2.48,311.5518009,33.96945334,1
113963,61.1,-42.56,23.36,113963,2.49,346.1900702,15.20536786,0
81377,13.07,25.44,7.12,81377,2.54,249.2897085,-10.5671518,0.1
14135,-11.81,-78.76,14.82,14135,2.54,45.56991279,4.08992539,1.97
68002,-57.14,-44.75,8.48,68002,2.55,208.8851454,-47.28826634,-0.18
54872,143.31,-130.43,56.52,54872,2.56,168.5267171,20.52403384,0.12
78820,-6.75,-24.89,6.15,78820,2.56,241.3593121,-19.80539286,-0.04
59196,-47.53,-6.42,8.25,59196,2.58,182.0897651,-50.72240999,-0.12
25985,3.27,1.54,2.54,25985,2.58,83.18255798,-17.82229227,0.32
59803,-159.58,22.31,19.78,59803,2.58,183.9519494,-17.5419837,-0.1
93506,-14.1,3.66,36.61,93506,2.6,285.6530143,-29.88011429,0.06
74785,-96.39,-20.76,20.38,74785,2.61,229.2519659,-9.38286694,-0.08
77070,134.66,44.14,44.54,77070,2.63,236.0666491,6.42551971,1.09
8903,96.32,-108.8,54.74,8903,2.64,28.65978771,20.80829949,0.18
26634,-0.1,-24.05,12.16,26634,2.65,84.91224975,-34.07404941,-0.07
28380,42.09,-73.61,18.83,28380,2.65,89.93015897,37.21276409,-0.06
61359,0.86,-56,23.34,61359,2.65,188.5968086,-23.39662306,0.88
6686,297.24,-49.49,32.81,6686,2.66,21.45251267,60.23540347,0.19
67927,-60.95,-358.1,88.17,67927,2.68,208.6713175,18.39858742,0.65
73273,-34.06,-38.3,6.23,73273,2.68,224.6331419,-43.13386699,-0.23
61585,-39.87,-12.44,10.67,61585,2.69,189.2961821,-69.13553358,-0.23
52727,62.55,-53.57,28.18,52727,2.69,161.6921754,-49.42012517,0.91
23015,3.63,-18.54,6.37,23015,2.69,74.24840098,33.16613537,1.46
